original_title,date_published,genre,duration,country,language_1,director,writer,actors,description,avg_vote,votes,budget,worlwide_gross_income,reviews_from_users,profit
Les aventures extraordinaires d'Adèle Blanc-Sec,2010-10-15,"Action, Adventure, Family",107,"France, USA",French,Luc Besson,"Luc Besson, Jacques Tardi","Louise Bourgoin, Mathieu Amalric, Gilles Lellouche, Jean-Paul Rouve, Jacky Nercessian, Philippe Nahon, Nicolas Giraud, Laure de Clermont-Tonnerre, Gérard Chaillou, Serge Bagdassarian, Claire Pérot, François Chattot, Stanislas de la Tousche, Youssef Hajdi, Mohamed Aroussi","An adventure set in the early part of the 20th century and focused on a popular novelist and her dealings with would-be suitors, the cops, monsters, and other distractions.",6.3,19545,33220400,34604339,60,1383939
From Paris with Love,2010-04-16,"Action, Crime, Thriller",92,France,English,Pierre Morel,"Adi Hasak, Luc Besson","John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden, Bing Yin, Amber Rose Revah, Eric Godon, François Bredon, Chems Dahmani, Sami Darr, Julien Hagnery, Mostéfa Stiti, Rebecca Dayan, Michaël Vander-Meiren, Didier Constant","In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the city.",6.5,111044,52000000,52844496,247,844496
A Nightmare on Elm Street,2010-08-20,"Crime, Drama, Horror",95,USA,English,Samuel Bayer,"Wesley Strick, Eric Heisserer","Jackie Earle Haley, Kyle Gallner, Rooney Mara, Katie Cassidy, Thomas Dekker, Kellan Lutz, Clancy Brown, Connie Britton, Lia D. Mortensen, Julianna Damm, Christian Stolte, Katie Schooping Knight, Hailey Schooping Knight, Leah Uteg, Don Robert Cass","The spectre of a disfigured man haunts the children of the parents who murdered him, stalking and killing them in their dreams.",5.2,90863,35000000,115694863,747,80694863
6 Souls,2011-02-25,"Horror, Mystery, Thriller",112,USA,English,"Måns Mårlind, Björn Stein",Michael Cooney,"Julianne Moore, Jonathan Rhys Meyers, Jeffrey DeMunn, Frances Conroy, Nate Corddry, Brooklynn Proulx, Brian Anthony Wilson, Joyce Feurring, Steven Rishard, Charles Techman, John Peakes, Michael Graves, Chaz Moneypenny, Charles David Richards, Rick Applegate",A forensic psychiatrist discovers that all but one of her patient's multiple personalities are murder victims. She will have to find out what's happening before her time is finished.,6.1,31937,22000000,3205167,109,-18794833
Chéri,2009-08-28,"Comedy, Drama, Romance",100,"UK, France, Germany",English,Stephen Frears,"Christopher Hampton, Colette","Michelle Pfeiffer, Frances Tomelty, Tom Burke, Rupert Friend, Hubert Tellegen, Joe Sheridan, Kathy Bates, Toby Kebbell, Felicity Jones, Iben Hjejle, Alain Churin, Bette Bourne, Nichola McAuliffe, Andras Hamori, Gaye Brown",The son of a courtesan retreats into a fantasy world after being forced to end his relationship with the older woman who educated him in the ways of love.,6.2,10510,23000000,9368242,43,-13631758
My Bloody Valentine,2009-05-08,"Horror, Mystery, Thriller",101,"USA, Canada",English,Patrick Lussier,"Todd Farmer, Zane Smith","Jensen Ackles, Jaime King, Kerr Smith, Betsy Rue, Edi Gathegi, Tom Atkins, Kevin Tighe, Megan Boone, Karen Baum, Joy de la Paz, Marc Macaulay, Todd Farmer, Jeff Hochendoner, Bingo O'Malley, Liam Rhodes","Tom returns to his hometown on the tenth anniversary of the Valentine's night massacre that claimed the lives of 22 people. Instead of a homecoming, Tom finds himself suspected of committing the murders, and it seems like his old flame is the only one that believes he's innocent.",5.4,52958,15000000,100734718,290,85734718
Paranormal Activity,2010-02-05,"Horror, Mystery, Thriller",86,USA,English,Oren Peli,Oren Peli,"Katie Featherston, Micah Sloat, Mark Fredrichs, Amber Armstrong, Ashley Palmer","After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence.",6.3,217252,15000,193355800,1267,193340800
10 Cloverfield Lane,2016-04-28,"Action, Drama, Horror",103,USA,English,Dan Trachtenberg,"Josh Campbell, Matthew Stuecken","John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin, Suzanne Cryer, Bradley Cooper, Sumalee Montano, Frank Mottek","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",7.2,283194,15000000,110216998,751,95216998
Bunraku,2011-11-30,"Action, Drama, Fantasy",124,USA,English,Guy Moshe,"Boaz Davidson, Guy Moshe","Josh Hartnett, Gackt, Woody Harrelson, Ron Perlman, Kevin McKidd, Demi Moore, Shun Sugata, Emily Kaiho, Jordi Mollà, Mike Patton, Shahar Sorek, Fernando Chien, Yoshio Iizuka, Kofi Yiadom, Aaron Toney",The story of a a young man who has spent his life searching for revenge only to find himself up against a bigger challenge than he originally bargained for.,6.2,18946,25000000,129706,78,-24870294
Moon,2009-12-04,"Drama, Mystery, Sci-Fi",97,"UK, USA",English,Duncan Jones,"Duncan Jones, Nathan Parker","Sam Rockwell, Kevin Spacey, Dominique McElligott, Rosie Shaw, Adrienne Shaw, Kaya Scodelario, Benedict Wong, Matt Berry, Malcolm Stewart, Robin Chalk","Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",7.9,329812,5000000,9760107,631,4760107
You Will Meet a Tall Dark Stranger,2010-12-03,"Comedy, Drama, Romance",98,"USA, Spain",English,Woody Allen,Woody Allen,"Gemma Jones, Pauline Collins, Anthony Hopkins, Rupert Frazer, Kelly Harrison, Naomi Watts, Josh Brolin, Freida Pinto, Eleanor Gecks, Antonio Banderas, Fenella Woolgar, Ewen Bremner, Christian McKay, Philip Glenister, Jonathan Ryland","Sally's parents' marriage breaks up when her father undergoes a mid-life crisis and impulsively weds a prostitute. Meanwhile, Sally's own marriage also begins to disintegrate.",6.3,43255,22000000,36015260,122,14015260
Ninja,2009-10-22,"Action, Thriller",86,USA,English,Isaac Florentine,"Boaz Davidson, Boaz Davidson","Scott Adkins, Tsuyoshi Ihara, Mika Hijii, Todd Jensen, Togo Igawa, Garrick Hagon, Miles Anderson, Valentin Ganev, Atanas Srebrev, Fumio Demura, Masaki Onishi, Nikolai Sotirov, Kenji Motomiya, Asen Asenov, Ivailo Dimitrov","A westerner named Casey, studying Ninjutsu in Japan, is asked by the Sensei to return to New York to protect the legendary Yoroi Bitsu, an armored chest that contains the weapons of the last Koga Ninja.",5.5,12072,10000000,194243,55,-9805757
Rab Ne Bana Di Jodi,2008-12-12,"Comedy, Drama, Music",167,India,Hindi,Aditya Chopra,"Aditya Chopra, Aditya Chopra","Shah Rukh Khan, Anushka Sharma, Vinay Pathak, M.K. Raina, Manmeet Singh, Kajol, Rani Mukerji, Preity Zinta, Bipasha Basu, Lara Dutta, Bobby Bedii, Vivan Bhatena, Puneet Cheema, Alene D'Souza, Aneesha Dalal","A breathtaking, goose flesh igniting, awe inspiring love journey of an ordinary man Suri and his 'total opposite' love Taani.",7.2,42862,2640000,29914469,148,27274469
Bachna Ae Haseeno,2008-08-15,"Comedy, Drama, Romance",152,India,Hindi,Siddharth Anand,"Aditya Chopra, Devika Bhagat","Ranbir Kapoor, Deepika Padukone, Bipasha Basu, Minissha Lamba, Kunal Kapoor, Hiten Paintal, Puneet Issar, Menekka Arora, Sumit Arora, Ntasha Bhardwaj, Pratik Dixit, Bidyut Dumra, Karan Gill, Avantika Hundal, Willi Jezler","Raj is a heartbreaker. His love stories with Mahi, Radhika and Gayatri finally teach him about love and life in their own sweet, sexy and sassy way.",6.2,10146,2160000,11386430,35,9226430
Beyond a Reasonable Doubt,2009-11-13,"Crime, Drama, Mystery",106,"USA, Saudi Arabia",English,Peter Hyams,"Peter Hyams, Douglas Morrow","Jesse Metcalfe, Amber Tamblyn, Michael Douglas, Joel David Moore, Orlando Jones, Lawrence P. Beron, Sewell Whitney, David Jensen, Sharon K. London, Krystal Kofie, Randal Reeder, Ryan Glorioso, Jon McCarthy, Grant James, Eric Gipson","Remake of the 1956 film noir film ""Beyond a Reasonable Doubt"" in which a writer's plan to expose a corrupt district attorney takes an unexpected turn.",5.9,12135,25000000,4515258,74,-20484742
When in Rome,2010-06-11,"Comedy, Romance",91,USA,English,Mark Steven Johnson,"David Diamond, David Weissman","Kristen Bell, Josh Duhamel, Anjelica Huston, Danny DeVito, Will Arnett, Jon Heder, Dax Shepard, Alexis Dziena, Kate Micucci, Peggy Lipton, Luca Calvani, Keir O'Donnell, Bobby Moynihan, Kristen Schaal, Judith Malina","Beth is a young, ambitious New Yorker who is completely unlucky in love. However, on a whirlwind trip to Rome, she impulsively steals some coins from a reputed fountain of love, and is then aggressively pursued by a band of suitors.",5.6,59471,55000000,43053376,96,-11946624
Dostana,2008-11-14,"Comedy, Drama, Romance",145,"India, USA",Hindi,Tarun Mansukhani,"Anvita Dutt, Tarun Mansukhani","Abhishek Bachchan, John Abraham, Priyanka Chopra, Kiron Kher, Bobby Deol, Boman Irani, Sushmita Mukherjee, Eduardo M. Freyre, Liannette Altuve, Steven Baker, Everlayn Borges, Claudia Camacho, Anthony Correa, Aoife Dineen, Monika Gaba","Two straight guys pretend to be gay in order to secure a Miami apartment. When both of them fall for their roommate Neha, hilarity ensues as they strive to convince one and all that they're gay whilst secretly trying to win her heart.",6.5,13549,5000000,17779520,62,12779520
Star Wars: The Clone Wars,2008-09-19,"Animation, Action, Adventure",98,USA,English,Dave Filoni,"Henry Gilroy, Steven Melching","Matt Lanter, Ashley Eckstein, James Arnold Taylor, Dee Bradley Baker, Tom Kane, Nika Futterman, Ian Abercrombie, Corey Burton, Catherine Taber, Matthew Wood, Kevin Michael Richardson, David Acord, Samuel L. Jackson, Anthony Daniels, Christopher Lee","After the Republic's victory on Christophsis, Anakin and his new apprentice Ahsoka Tano must rescue the kidnapped son of Jabba the Hutt. Political intrigue complicates their mission.",5.9,55692,8500000,68282844,266,59782844
Ninja Assassin,2009-12-04,"Action, Thriller",99,"Germany, USA, France",English,James McTeigue,"Matthew Sand, J. Michael Straczynski","Rain, Joon Lee, Jonathan Chan-Pensley, Ill-Young Kim, Yuki Iwamoto, Ben Miles, Naomie Harris, Sung Kang, Linh Dan Pham, Fang Yu, Adriana Altaras, Shô Kosugi, Kylie Liya Page, Sungwoong Yoon, Eleonore Weisgerber","A young ninja turns his back on the orphanage that raised him, leading to a confrontation with a fellow ninja from the clan.",6.3,67257,40000000,61601280,230,21601280
Agora,2010-04-23,"Adventure, Biography, Drama",127,"Spain, Malta, Bulgaria",English,Alejandro Amenábar,"Alejandro Amenábar, Mateo Gil","Rachel Weisz, Max Minghella, Oscar Isaac, Ashraf Barhom, Michael Lonsdale, Rupert Evans, Homayoun Ershadi, Sami Samir, Richard Durden, Omar Mostafa, Manuel Cauchi, Oshri Cohen, Charles Thake, Harry Borg, Yousef 'Joe' Sweid","A historical drama set in Roman Egypt, concerning a slave who turns to the rising tide of Christianity in the hope of pursuing freedom while falling in love with his mistress, the philosophy and mathematics professor Hypatia of Alexandria.",7.2,65025,70000000,39457342,193,-30542658
3 Idiots,2009-12-25,"Comedy, Drama",170,India,Hindi,Rajkumar Hirani,"Rajkumar Hirani, Abhijat Joshi","Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor, Boman Irani, Omi Vaidya, Mona Singh, Olivier Lafont, Rahul Kumar, Parikshit Sahni, Farida Dadi, Amardeep Jha, Mukund Bhatt, Chaitali Bose, Javed Jaffrey","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",8.4,332217,6600000,60262836,651,53662836
Triangle,2009-10-16,"Fantasy, Mystery, Thriller",99,"UK, Australia",English,Christopher Smith,Christopher Smith,"Melissa George, Joshua McIvor, Jack Taylor, Michael Dorman, Henry Nixon, Rachael Carpani, Emma Lung, Liam Hemsworth, Bryan Probets","A group of friends suffer a yachting accident and take refuge on a cruise drifting on the open sea, but quickly realize they were better off on the upturned yacht.",6.9,99809,12000000,1333377,492,-10666623
Pandorum,2010-08-06,"Action, Horror, Mystery",108,"Germany, UK, USA",English,Christian Alvart,"Travis Milloy, Travis Milloy","Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue, Cung Le, Eddie Rouse, Norman Reedus, André Hennicke, Friederike Kempter, Niels-Bruno Schmidt, Asia Luna Mohmand, Delphine Chuillot, Wotan Wilke Möhring, Julian Rappe, Domenico D'Ambrosio","Two crew members of a spaceship wake up from hypersleep to discover that all their colleagues are missing. Despite this, it appears that they are not alone.",6.7,141963,33000000,20648328,393,-12351672
Jai Ho,2014-01-24,"Action, Drama",135,India,Hindi,Sohail Khan,"A.R. Murugadoss, Dilip Shukla","Salman Khan, Daisy Shah, Tabu, Danny Denzongpa, Nadira Babbar, Sunil Shetty, Mohnish Bahl, Mahesh Manjrekar, Aditya Pancholi, Sharad S. Kapoor, Mukul Dev, Pulkit Samrat, Mahesh Thakur, Genelia D'Souza, Yash Tonk","An ex-army officer initiates a unique idea of propagating social responsibility among ordinary people and in doing so, crosses paths with a powerful political family.",5.1,16548,9000000,2122804,104,-6877196
My Name Is Khan,2010-11-26,Drama,165,"India, USA, United Arab Emirates",Hindi,Karan Johar,"Shibani Bathija, Shibani Bathija","Shah Rukh Khan, Kajol, Katie A. Keane, Kenton Duty, Benny Nieves, Christopher B. Duncan, Jimmy Sheirgill, Sonya Jehan, Parvin Dabas, Arjun Mathur, Sugandha Garg, Zarina Wahab, S.M. Zaheer, Arif Zakaria, Vinay Pathak",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,8,96685,12000000,42345360,288,30345360
La piel que habito,2011-09-23,"Drama, Horror, Thriller",120,Spain,Spanish,Pedro Almodóvar,"Thierry Jonquet, Pedro Almodóvar","Antonio Banderas, Elena Anaya, Marisa Paredes, Jan Cornet, Roberto Álamo, Eduard Fernández, José Luis Gómez, Blanca Suárez, Susi Sánchez, Bárbara Lennie, Fernando Cayo, Chema Ruiz, Buika, Ana Mena, Teresa Manresa","A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.",7.6,135098,10600000,33678406,194,23078406
The Lincoln Lawyer,2011-03-18,"Crime, Drama, Thriller",118,USA,English,Brad Furman,"John Romano, Michael Connelly","Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy, Josh Lucas, John Leguizamo, Michael Peña, Bob Gunton, Frances Fisher, Bryan Cranston, Trace Adkins, Laurence Mason, Margarita Levieva, Pell James, Shea Whigham",A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime.,7.3,209759,40000000,86752352,261,46752352
2012,2009-11-13,"Action, Adventure, Sci-Fi",158,USA,English,Roland Emmerich,"Roland Emmerich, Harald Kloser","John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt, Tom McCarthy, Woody Harrelson, Danny Glover, Liam James, Morgan Lily, Zlatko Buric, Beatrice Rosen, Alexandre Haussmann, Philippe Haussmann, Johann Urb",A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,5.8,347291,200000000,791217826,1182,591217826
Black Dynamite,2010-01-13,"Action, Comedy",84,USA,English,Scott Sanders,"Michael Jai White, Byron Minns","Phyllis Applegate, Obba Babatundé, William Bassett, Troy Lindsey Brown, Fredella Calloway, Cheryl Carter, Juka Ceesay, Kevin Chapman, Tommy Davidson, Lucky Davis, Nicholas Earley, Richard Edson, Jason Jack Edwards, Jon Kent Ethridge, Mary Evans","Black Dynamite is the greatest African-American action star of the 1970s. When his only brother is killed by The Man, it's up to him to find justice.",7.4,45081,2900000,296557,107,-2603443
Chugyeogja,2008-02-14,"Action, Crime, Thriller",125,South Korea,Korean,Hong-jin Na,"Won-Chan Hong, Shinho Lee","Yoon-seok Kim, Jung-woo Ha, Yeong-hie Seo, Yoo-Jeong Kim, In-gi Jeong, Hyo-ju Park, Bon-woong Ko, Duk-je Cho, Seong-kwang Ha, Deok-jae Jo, Jong-goo Lee, Sang-hee Lee, Yeon-ah Oh, Moo-yeong Yeo",A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,7.9,56264,2650000,36495748,144,33845748
Enter the Void,2011-12-09,"Drama, Fantasy",161,"France, Germany, Italy, Canada, Japan",English,Gaspar Noé,"Gaspar Noé, Lucile Hadzihalilovic","Paz de la Huerta, Nathaniel Brown, Cyril Roy, Olly Alexander, Masato Tanno, Ed Spear, Emily Alyn Lind, Jesse Kuhn, Nobu Imai, Sakiko Fukuhara, Janice Béliveau-Sicotte, Sara Stockbridge, Stuart Miller, Emi Takeuchi, Rumiko Kimishima","An American drug dealer living in Tokyo is betrayed by his best friend and killed in a drug deal. His soul, observing the repercussions of his death, seeks resurrection.",7.3,68693,16000000,775385,253,-15224615
